id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
41419383,Cheap room SALE  SALE  SALE  1 MONTH STAY ONLY,7518056,Jovee,,Wan Chai,22.27845,114.18029,Private room,130,29,0,,,375,364,0,
52179475,旺角區經濟單人房Budget Single Rm@Mong Kok01,24358640,Janis,,Yau Tsim Mong,22.3171,114.17074,Private room,238,7,0,,,39,65,0,
37538933,A 2ppl Double Bed 4611SStudio 2min CausewayBay MTR,25048995,Moey,,Wan Chai,22.27951,114.18101,Private room,300,3,2,2022-04-22,0.15,29,29,1,
2999332,Nice Flatshare in Wan Chai,4584648,Ivy,,Wan Chai,22.27834,114.17328,Private room,180,30,1,2014-10-13,0.01,384,365,0,
23169745,尖沙咀地鉄站一分鐘-北歐風格大床房獨立衛浴,50172398,Gloria,,Yau Tsim Mong,22.29962,114.17201,Private room,250,1,3,2018-10-05,0.06,39,365,0,
47084195,Luxury Family Home in heart of Central/SOHO,209711453,Jem,,Central & Western,22.28451,114.15286,Entire home/apt,1995,5,4,2022-04-23,0.48,1,44,4,
32731797,SALE - SALE Room for 2 persons - Keep MOVING,67709885,Steven,,Wan Chai,22.27794,114.18372,Private room,180,29,0,,,259,364,0,
18088780,Sunny & Spacious Twin Bed Room @TST for 2-3 pax,56949831,Sam,,Yau Tsim Mong,22.29689,114.17101,Private room,245,2,181,2022-01-15,2.88,22,78,5,
13216041,"Cozy double room, room with private bathroom, TV, air conditioning, free WiFi",65326707,Jingwen,,Yau Tsim Mong,22.31563,114.17082,Private room,200,30,18,2019-06-20,0.26,8,180,0,
18143378,"Double Rm, mongkok 1min MTR, Speaks Eng/中文 209",123954370,Juliet,,Yau Tsim Mong,22.29864,114.17159,Private room,307,2,239,2020-11-16,3.8,9,90,0,
28825990,HQ2-CozyRoom at TST for 2 person 尖沙咀地鐵站舒適2人房 地铁楼上,122131447,Debe,,Yau Tsim Mong,22.29854,114.1728,Private room,369,1,5,2019-03-26,0.12,83,132,0,
