id,topics
2999332,"[(0, 0.08168891), (1, 0.42215723), (2, 0.23258857), (3, 0.17276384), (4, 0.08343546)]"
2999376,"[(0, 0.16650538), (1, 0.6019011), (3, 0.22376633)]"
2999430,"[(0, 0.28623578), (1, 0.69400096)]"
3002319,"[(2, 0.3144432), (3, 0.6757956)]"
3021624,"[(2, 0.37037927), (3, 0.18228573), (5, 0.3252411), (7, 0.115590125)]"
3052764,"[(1, 0.5493215), (3, 0.13714135), (5, 0.101189554), (6, 0.18957075)]"
825843,"[(0, 0.5178049), (1, 0.074976325), (4, 0.10863678), (7, 0.28693762)]"
3068952,"[(2, 0.19578312), (3, 0.45718816), (4, 0.105544515), (5, 0.15118228), (6, 0.031155895), (7, 0.055294905)]"
825899,"[(0, 0.5147861), (4, 0.11891038), (6, 0.0594749), (7, 0.29490742)]"
849316,"[(0, 0.20357028), (1, 0.05623227), (2, 0.17755319), (3, 0.31418553), (4, 0.24293393)]"
3069740,"[(2, 0.1278566), (3, 0.72921354), (6, 0.1354785)]"
3069823,"[(2, 0.12785275), (3, 0.72921133), (6, 0.13548444)]"
850531,"[(0, 0.41108108), (2, 0.13179685), (3, 0.1934801), (5, 0.14645481), (7, 0.11243287)]"
3069856,"[(2, 0.12788132), (3, 0.7292115), (6, 0.13545567)]"
3069865,"[(2, 0.12786753), (3, 0.7292178), (6, 0.13546322)]"
3075861,"[(2, 0.6150964), (3, 0.24941508), (7, 0.11043465)]"
860891,"[(0, 0.08756648), (2, 0.08578558), (3, 0.26168108), (5, 0.55534106)]"
860892,"[(0, 0.23371263), (2, 0.11030334), (3, 0.64417624)]"
861654,"[(0, 0.14716315), (1, 0.088248804), (2, 0.382916), (3, 0.12839827), (4, 0.08668007), (7, 0.1622716)]"
869969,"[(0, 0.2783055), (5, 0.66391903)]"
870046,"[(1, 0.50306743), (3, 0.11071545), (5, 0.20987198), (6, 0.16852145)]"
894221,"[(1, 0.1545407), (2, 0.41904196), (5, 0.40852237)]"
894224,"[(0, 0.21451639), (1, 0.68918836), (3, 0.08856826)]"
903169,"[(1, 0.6516127), (5, 0.33664757)]"
923017,"[(0, 0.19368896), (2, 0.51458555), (5, 0.24673137), (7, 0.03966692)]"
3085792,"[(2, 0.23902479), (3, 0.44049028), (5, 0.2790631), (7, 0.03359218)]"
3106194,"[(2, 0.20907685), (3, 0.45117548), (4, 0.16439334), (5, 0.15448035)]"
944283,"[(2, 0.02771143), (3, 0.8349855), (5, 0.1287276)]"
3115717,"[(3, 0.9601628)]"
956857,"[(0, 0.11966862), (2, 0.14860004), (3, 0.6543817), (5, 0.07019524)]"
957513,"[(0, 0.08339583), (2, 0.526353), (3, 0.382708)]"
3140677,"[(2, 0.10072596), (3, 0.8903272)]"
3152441,"[(2, 0.16863288), (3, 0.5006908), (4, 0.10902758), (5, 0.11906518), (6, 0.095359705)]"
992390,"[(1, 0.12733014), (2, 0.12861994), (3, 0.43619195), (4, 0.11689504), (5, 0.18588473)]"
3170735,"[(0, 0.50488424), (4, 0.091322534), (5, 0.34128696), (6, 0.05545673)]"
1008590,"[(0, 0.22905348), (2, 0.19179441), (4, 0.5695153)]"
1016855,"[(1, 0.34334102), (2, 0.12692003), (3, 0.27530527), (6, 0.11192403), (7, 0.13579994)]"
1019390,"[(2, 0.37516576), (3, 0.42208296), (5, 0.19176672)]"
3177173,"[(0, 0.21134916), (1, 0.046928626), (3, 0.34574354), (5, 0.38734528)]"
3177295,"[(3, 0.3990894), (5, 0.58673203)]"
1022377,"[(3, 0.8237273), (4, 0.16453707)]"
3315931,"[(1, 0.0723283), (3, 0.49746835), (4, 0.13710287), (5, 0.17211294), (7, 0.11451364)]"
3346038,"[(1, 0.054915298), (2, 0.48290333), (3, 0.14406268), (4, 0.18520933), (5, 0.12721911)]"
3351296,"[(3, 0.4842626), (4, 0.18687187), (5, 0.19303866), (6, 0.12580708)]"
1033352,"[(1, 0.1170774), (2, 0.6232223), (3, 0.24363892)]"
1033353,"[(2, 0.52398074), (3, 0.2812658), (6, 0.16346306)]"
1036146,"[(0, 0.14431697), (3, 0.78835213), (5, 0.059201874)]"
3351826,"[(2, 0.3076136), (3, 0.48397085), (4, 0.19797939)]"
3384871,"[(1, 0.07696263), (3, 0.59893274), (5, 0.31564492)]"
3443586,"[(0, 0.015669899), (1, 0.015656289), (2, 0.01566726), (3, 0.015674854), (4, 0.015686033), (5, 0.8903577), (6, 0.015654776), (7, 0.0156332)]"
1046393,"[(1, 0.1671531), (2, 0.57514715), (5, 0.22476599)]"
1060831,"[(0, 0.115299836), (3, 0.78792846), (5, 0.089965045)]"
1072782,"[(1, 0.38201216), (2, 0.47444156), (5, 0.113745905)]"
1108132,"[(3, 0.98462707)]"
3469627,"[(0, 0.1985614), (2, 0.43401662), (4, 0.14336088), (5, 0.15422602), (6, 0.06287583)]"
3525683,"[(0, 0.9092703), (6, 0.08134093)]"
1145659,"[(0, 0.36209145), (1, 0.4058151), (3, 0.21643347)]"
1149076,"[(1, 0.5633439), (3, 0.4131715)]"
1149104,"[(1, 0.08473815), (2, 0.57581884), (5, 0.31100398)]"
1149202,"[(0, 0.28057185), (1, 0.6405227), (3, 0.07097975)]"
3535812,"[(5, 0.4446725), (7, 0.5468891)]"
1149491,"[(0, 0.22892016), (1, 0.4713798), (2, 0.2563326), (4, 0.035664238)]"
1152148,"[(0, 0.6320715), (2, 0.3130091), (5, 0.046994977)]"
3545636,"[(5, 0.44466925), (7, 0.5468926)]"
1157314,"[(3, 0.68235683), (4, 0.091672674), (5, 0.21773611)]"
3580565,"[(1, 0.04444157), (3, 0.17139755), (4, 0.09774952), (5, 0.6804477)]"
3587653,"[(0, 0.04169977), (1, 0.041718606), (2, 0.041668378), (3, 0.7079587), (4, 0.041784152), (5, 0.04172783), (6, 0.04173943), (7, 0.041703105)]"
3596518,"[(2, 0.21352443), (3, 0.68540865), (4, 0.062298268), (6, 0.029980421)]"
3616954,"[(0, 0.2680295), (1, 0.38539693), (2, 0.18301879), (3, 0.15353748)]"
1164099,"[(1, 0.1780588), (2, 0.046790008), (3, 0.56449914), (7, 0.20186372)]"
3656571,"[(0, 0.9270121), (1, 0.010423777), (2, 0.010426652), (3, 0.010425596), (4, 0.010429424), (5, 0.010435648), (6, 0.010419043), (7, 0.010427762)]"
3712813,"[(5, 0.4446666), (7, 0.5468952)]"
1165573,"[(0, 0.06381673), (2, 0.044258635), (3, 0.584955), (5, 0.2605048), (6, 0.0421969)]"
3783735,"[(5, 0.4446638), (7, 0.54689807)]"
1171633,"[(1, 0.13721244), (2, 0.575387), (5, 0.25264108)]"
1182474,"[(5, 0.44467598), (7, 0.5468854)]"
3853127,"[(3, 0.76103634), (5, 0.13550249), (6, 0.09069015)]"
1187498,"[(1, 0.11446834), (2, 0.45042235), (5, 0.40217933)]"
4695498,"[(2, 0.9513291)]"
3870691,"[(5, 0.4446706), (7, 0.54689115)]"
4696858,"[(2, 0.59892595), (4, 0.36351725)]"
4702937,"[(1, 0.9707933)]"
4703186,"[(0, 0.16629547), (1, 0.42411104), (2, 0.11772918), (3, 0.28427407)]"
4712476,"[(0, 0.15637167), (1, 0.5120405), (5, 0.30550936)]"
4712684,"[(3, 0.5994444), (6, 0.3428077)]"
4724498,"[(2, 0.9452518)]"
4724533,"[(2, 0.7452458), (4, 0.21059898)]"
4724552,"[(2, 0.7613884), (4, 0.19690965)]"
4751714,"[(0, 0.61979276), (2, 0.12625507), (5, 0.24548666)]"
3870727,"[(5, 0.44467476), (7, 0.5468867)]"
4763087,"[(0, 0.17868373), (5, 0.8110318)]"
3885448,"[(0, 0.11256014), (5, 0.85478795)]"
4797773,"[(2, 0.7612702), (4, 0.19702783)]"
4798868,"[(0, 0.19676064), (5, 0.79309386)]"
4811467,"[(0, 0.20925578), (5, 0.78046006)]"
4834521,"[(0, 0.20844285), (5, 0.78140825)]"
4841805,"[(0, 0.20452173), (5, 0.7853329)]"
4849950,"[(3, 0.75325316), (6, 0.20721908)]"
3886298,"[(0, 0.82701546), (5, 0.15091415)]"
3890627,"[(0, 0.56857646), (5, 0.39878485)]"
4856303,"[(0, 0.20844132), (5, 0.7814098)]"
3903088,"[(0, 0.66962045), (2, 0.18784334), (5, 0.1360183)]"
3903373,"[(0, 0.12897491), (2, 0.5417422), (5, 0.28976), (6, 0.031036336)]"
4866210,"[(0, 0.20885822), (4, 0.084909216), (5, 0.69799846)]"
4869749,"[(0, 0.25258076), (5, 0.73727256)]"
4881223,"[(0, 0.209269), (5, 0.7804468)]"
4892293,"[(0, 0.20843948), (5, 0.78141165)]"
4917693,"[(3, 0.8372486), (5, 0.11269098)]"
4919225,"[(3, 0.34794194), (4, 0.64117557)]"
3937739,"[(1, 0.101299256), (2, 0.1896581), (3, 0.43111742), (4, 0.2057939), (7, 0.06339516)]"
3955852,"[(1, 0.9821264)]"
4919471,"[(3, 0.3479651), (4, 0.64115244)]"
4920159,"[(0, 0.31233186), (2, 0.37683785), (5, 0.26821244), (6, 0.035660442)]"
3974906,"[(0, 0.30613804), (3, 0.31189433), (4, 0.14625488), (5, 0.2295297)]"
3988151,"[(1, 0.941259), (5, 0.04736446)]"
4008972,"[(5, 0.5229796), (6, 0.41924477)]"
4016920,"[(0, 0.06250062), (1, 0.56249565), (2, 0.06250062), (3, 0.06250062), (4, 0.06250062), (5, 0.06250062), (6, 0.06250062), (7, 0.06250062)]"
4019615,"[(1, 0.29399776), (2, 0.5535871), (5, 0.12736909)]"
4033527,"[(1, 0.12939677), (2, 0.83484)]"
4041673,"[(1, 0.82406366), (3, 0.13177371)]"
4053934,"[(1, 0.8494618), (3, 0.13780664)]"
4959717,"[(0, 0.21563886), (5, 0.77421373)]"
4078286,"[(2, 0.71679914), (3, 0.1881179), (7, 0.0839034)]"
4081290,"[(1, 0.9796385)]"
4108656,"[(2, 0.96192163)]"
4122473,"[(1, 0.8783967), (5, 0.10865446)]"
4131018,"[(1, 0.62901837), (5, 0.3132324)]"
4968354,"[(0, 0.011383131), (1, 0.011368481), (2, 0.011373262), (3, 0.92034376), (4, 0.011385677), (5, 0.011372246), (6, 0.011382242), (7, 0.011391195)]"
4138543,"[(3, 0.78929234), (4, 0.1358006), (6, 0.03721117), (7, 0.027043471)]"
5017980,"[(4, 0.58597606), (5, 0.37648228)]"
4139784,"[(3, 0.7375184), (4, 0.18558583), (6, 0.036423974), (7, 0.029586246)]"
4142601,"[(3, 0.66793656), (4, 0.15914199), (5, 0.106285214), (6, 0.022281231), (7, 0.03619172)]"
4165842,"[(1, 0.21123098), (2, 0.7546466)]"
4174463,"[(1, 0.7803091), (2, 0.20848115)]"
4174529,"[(1, 0.7847089), (2, 0.20355725)]"
