id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1149076,A beautiful Flat in Central - Caine road (ML23b),4584648,Ivy,,Central & Western,22.28033,114.15311,Private room,180,30,1,2014-02-01,0.01,384,294,0,
1149104,++Welcome for short term rent ++,4584648,Ivy,,Yau Tsim Mong,22.29925,114.17537,Private room,180,60,0,,,384,365,0,
1149202,Tsimshatsui Room in Flat Share (T5b),4584648,Ivy,,Yau Tsim Mong,22.29734,114.17478,Private room,180,30,0,,,384,0,0,
1149491,Fully furnished apartment,4584648,Ivy,,Eastern,22.2884,114.199,Private room,180,29,2,2015-11-26,0.02,384,0,0,
1152148,Luxury Studio Apartment Near Causeway Bay [2],6315448,Lauli15,,Wan Chai,22.2812,114.18526,Entire home/apt,521,90,2,2018-12-19,0.02,6,258,0,
1157314,"Cozy refurbed flat, 1 min to MTR",804955,James & Rebecca,,Central & Western,22.28622,114.1372,Entire home/apt,625,2,152,2022-02-06,2.13,1,350,20,
1164099,"Near with SOHO, for Long/Short term",4584648,Ivy,,Central & Western,22.28082,114.15233,Private room,180,30,0,,,384,204,0,
1165573,Mid-level 1br/1ba by escalator,4258815,Faye,,Central & Western,22.28122,114.15135,Entire home/apt,704,3,130,2022-02-07,1.21,1,53,12,
1171633,Near MTR Welcome for short/longterm,4584648,Ivy,,Central & Western,22.28528,114.15186,Private room,180,31,2,2015-08-16,0.02,384,365,0,
1182474,"Kowloon Mongkok 1812 Twin Room A, near station",6361579,Man Ching Athena,,Yau Tsim Mong,22.31585,114.16888,Private room,310,2,101,2019-12-12,1.09,12,0,0,
1187498,Nice room in Sheung Wan,4584648,Ivy,,Central & Western,22.28564,114.14785,Private room,180,30,2,2013-09-14,0.02,384,365,0,
1187557,The cheaper room! Near with HKU!!!!,4584648,Ivy,,Central & Western,22.2845,114.12888,Private room,180,30,0,,,384,364,0,
1187738,Furnished Studio in western HK,4584648,Ivy,,Sham Shui Po,22.33247,114.16271,Private room,217,30,0,,,384,365,0,
1187739,Bright room Welcome for short term!,4584648,Ivy,,Sham Shui Po,22.3323,114.16243,Private room,180,30,0,,,384,365,0,
1187770,ROOFTOP room ( SUPER close to MTR),4584648,Ivy,,Yau Tsim Mong,22.31447,114.17082,Private room,180,29,0,,,384,364,0,
1226450,Flat share in Sheung Wan,4584648,Ivy,,Central & Western,22.28796,114.14945,Private room,180,31,1,2016-02-28,0.01,384,364,0,
1229848,Cool Stanley Surf Flat Rooftop by beach +2wkDiscnt,6708889,Marcos,,Southern,22.21892,114.21369,Entire home/apt,1200,6,30,2019-06-08,0.30,2,365,0,
1253977,TSIM SHA TSUI 2 Bedroom Apt (BEST) WALK 6 MIN MTR,6811924,Daisy,,Yau Tsim Mong,22.30147,114.17598,Entire home/apt,563,90,70,2021-12-25,0.66,7,295,1,
1297179,TSIM SHA TSUI 2 Bedroom Apt(Double) 6 mins TST MTR,6811924,Daisy,,Yau Tsim Mong,22.30173,114.17619,Entire home/apt,610,28,59,2019-09-28,0.57,7,365,0,
1312023,Flat share room in Yau Ma Tei,4584648,Ivy,,Yau Tsim Mong,22.31214,114.17227,Private room,180,30,0,,,384,365,0,
